,Unnamed: 0,Time [s],Voltage [V],Current [A],Step from cycler,Discharge capacity [A.h],Charge capacity [A.h],Power [W],Discharge energy [W.h],Charge energy [W.h],Step count,Cycle from cycler,Cycle count
0,0,0.0,4.036355743562395,5.0,0,0.0,0.0,20.181778717811977,0.0,0.0,0,1,0
1,1,60.0,3.942190393790243,5.0,0,0.08333333333333333,0.0,19.710951968951214,0.3324394223896932,0.0,0,1,0
2,2,120.0,3.930892765953632,5.0,0,0.16666666666666666,0.0,19.65446382976816,0.6604845540456881,0.0,0,1,0
3,3,180.0,3.923486687526557,5.0,0,0.25,0.0,19.617433437632783,0.9877503646073627,0.0,0,1,0
4,4,240.0,3.911265896770766,5.0,0,0.3333333333333333,0.0,19.55632948385383,1.3141983889530844,0.0,0,1,0
5,5,300.0,3.895063522500229,5.0,0,0.41666666666666663,0.0,19.475317612501144,1.6394621147560424,0.0,0,1,0
6,6,360.0,3.8771285202370462,5.0,0,0.5,0.0,19.385642601185232,1.9633034498700956,0.0,0,1,0
7,7,420.0,3.8591503167201626,5.0,0,0.5833333333333333,0.0,19.29575158360081,2.285648401409979,0.0,0,1,0
8,8,480.0,3.842047773881066,5.0,0,0.6666666666666665,0.0,19.21023886940533,2.60653165518503,0.0,0,1,0
9,9,540.0,3.826180923591027,5.0,0,0.7499999999999998,0.0,19.130904617955135,2.926041184246367,0.0,0,1,0
10,10,600.0,3.811578602647789,5.0,0,0.833333333333333,0.0,19.057893013238946,3.244281164506318,0.0,0,1,0
11,11,660.0,3.79809177110739,5.0,0,0.9166666666666663,0.0,18.99045885553695,3.5613507634127837,0.0,0,1,0
12,12,720.0,3.785490318713067,5.0,0,0.9999999999999998,0.0,18.927451593565333,3.8773333504886365,0.0,0,1,0
13,13,780.0,3.773486114767716,5.0,0,1.083333333333333,0.0,18.86743057383858,4.192290701883669,0.0,0,1,0
14,14,840.0,3.761731749005772,5.0,0,1.1666666666666663,0.0,18.808658745028858,4.506258112874232,0.0,0,1,0
15,15,900.0,3.7497635700552574,5.0,0,1.2499999999999996,0.0,18.748817850276286,4.819237084501775,0.0,0,1,0
16,16,960.0,3.736894589654212,5.0,0,1.3333333333333328,0.0,18.68447294827106,5.131181174489669,0.0,0,1,0
17,17,1020.0,3.722085833782141,5.0,0,1.416666666666666,0.0,18.610429168910706,5.441972025466184,0.0,0,1,0
18,18,1080.0,3.704108918845432,5.0,0,1.4999999999999993,0.0,18.52054459422716,5.751396806825666,0.0,0,1,0
19,19,1140.0,3.682667348121218,5.0,0,1.5833333333333326,0.0,18.41333674060609,6.059179151282609,0.0,0,1,0
20,20,1200.0,3.6597469159010223,5.0,0,1.6666666666666659,0.0,18.298734579505112,6.365113078950202,0.0,0,1,0
21,21,1260.0,3.6381383390567414,5.0,0,1.7499999999999991,0.0,18.190691695283707,6.669191631240109,0.0,0,1,0
22,22,1320.0,3.618820093055027,5.0,0,1.8333333333333324,0.0,18.094100465275137,6.971564899244766,0.0,0,1,0
23,23,1380.0,3.6013696216191846,5.0,0,1.916666666666666,0.0,18.006848108095923,7.272406137356192,0.0,0,1,0
24,24,1440.0,3.585314867423858,5.0,0,1.9999999999999993,0.0,17.92657433711929,7.571851324399653,0.0,0,1,0
25,25,1500.0,3.570476215152993,5.0,0,2.0833333333333326,0.0,17.852381075764963,7.870009286173688,0.0,0,1,0
26,26,1560.0,3.5568069739350276,5.0,0,2.166666666666666,0.0,17.78403486967514,8.166979419052355,0.0,0,1,0
27,27,1620.0,3.5442431665784646,5.0,0,2.2499999999999996,0.0,17.721215832892323,8.462856508240417,0.0,0,1,0
28,28,1680.0,3.5326629630585176,5.0,0,2.333333333333333,0.0,17.663314815292587,8.757727596975291,0.0,0,1,0
29,29,1740.0,3.521894217641648,5.0,0,2.4166666666666665,0.0,17.609471088208238,9.051667479504465,0.0,0,1,0
30,30,1800.0,3.5117484720655763,5.0,0,2.5,0.0,17.55874236032788,9.344735924908932,0.0,0,1,0
31,31,1860.0,3.502038788626094,5.0,0,2.5833333333333335,0.0,17.51019394313047,9.636977060771086,0.0,0,1,0
32,32,1920.0,3.492587341700532,5.0,0,2.6666666666666665,0.0,17.46293670850266,9.92841981620136,0.0,0,1,0
33,33,1980.0,3.4832237560511796,5.0,0,2.75,0.0,17.4161187802559,10.219078611941017,0.0,0,1,0
34,34,2040.0,3.473773662439237,5.0,0,2.833333333333333,0.0,17.368868312196184,10.508953504378116,0.0,0,1,0
